head,pos,lemma,freq,disp,freq_sp,freq_wr,tag,head_orig,tag_lemma
the,Det,the,61847,0.98,39605,64420,the_Det,the,the_Det_the
of,Prep,of,29391,0.97,14550,31109,of_Prep,of,of_Prep_of
and,Conj,and,26817,0.99,25210,27002,and_Conj,and,and_Conj_and
a,Det,a,21626,0.99,18637,21972,a_Det,a,a_Det_a
in,Prep,in,18214,0.98,11609,18978,in_Prep,in,in_Prep_in
to,Inf,to,16284,0.99,14912,16442,to_Inf,to,to_Inf_to
it,Pron,it,10875,0.95,24508,9298,it_Pron,it,it_Pron_it
be,Verb,is,9982,0.96,10164,9961,be_Verb,be,be_Verb_is
to,Prep,to,9343,0.99,6950,9620,to_Prep,to,to_Prep_to
be,Verb,was,9236,0.96,8097,9368,be_Verb,be,be_Verb_was
I,Pron,I,8875,0.89,31893,7736,I_Pron,I,I_Pron_I
for,Prep,for,8412,0.98,6239,8664,for_Prep,for,for_Prep_for
that,Conj,that,7308,0.97,7246,7315,that_Conj,that,that_Conj_that
you,Pron,you,6954,0.88,25957,4755,you_Pron,you,you_Pron_you
he,Pron,he,6810,0.93,7277,6756,he_Pron,he,he_Pron_he
be,Verb,be,6644,0.98,5790,6742,be_Verb,be,be_Verb_be
with,Prep,with,6575,0.99,4446,6821,with_Prep,with,with_Prep_with
I,Pron,i,,,29448,6494,I_Pron,I,I_Pron_i
on,Prep,on,6475,0.97,5659,6569,on_Prep,on,on_Prep_on
by,Prep,by,5096,0.96,1663,5493,by_Prep,by,by_Prep_by
at,Prep,at,4790,0.98,4115,4868,at_Prep,at,at_Prep_at
have,Verb,have,4735,0.97,7488,4416,have_Verb,have,have_Verb_have
be,Verb,are,4707,0.96,4663,4712,be_Verb,be,be_Verb_are
not,Neg,not,4626,0.98,4693,4618,not_Neg,not,not_Neg_not
this,DetP,this,4623,0.97,5627,4506,this_DetP,this,this_DetP_this
's,Gen,'s,4599,0.97,1606,4945,'s_Gen,'s,'s_Gen_'s
but,Conj,but,4577,0.97,6366,4370,but_Conj,but,but_Conj_but
have,Verb,had,4452,0.94,2835,4639,have_Verb,have,have_Verb_had
they,Pron,they,4332,0.95,9333,3754,they_Pron,they,they_Pron_they
his,Det,his,4285,0.94,1333,4627,his_Det,his,his_Det_his
from,Prep,from,4134,0.98,2178,4360,from_Prep,from,from_Prep_from
she,Pron,she,3801,0.86,4136,3762,she_Pron,she,she_Pron_she
that,DetP,that,3792,0.9,14252,2581,that_DetP,that,that_DetP_that
which,DetP,which,3719,0.96,2208,3893,which_DetP,which,which_DetP_which
or,Conj,or,3707,0.96,3357,3747,or_Conj,or,or_Conj_or
we,Pron,we,3578,0.92,10448,2784,we_Pron,we,we_Pron_we
an,Det,an,3430,0.97,1846,3613,an_Det,an,an_Det_an
not,Neg,n't,3328,0.87,12212,2300,not_Neg,not,not_Neg_n't
be,Verb,were,3227,0.98,2749,3282,be_Verb,be,be_Verb_were
be,Verb,'s,3190,0.85,15818,1729,be_Verb,be,be_Verb_'s
as,Conj,as,3006,0.98,1558,3174,as_Conj,as,as_Conj_as
do,Verb,do,2802,0.9,165,3,do_Verb,do,do_Verb_do
be,Verb,been,2686,0.98,2082,2756,be_Verb,be,be_Verb_been
their,Det,their,2608,0.97,1284,2761,their_Det,their,their_Det_their
have,Verb,has,2593,0.95,1598,2708,have_Verb,have,have_Verb_has
would,VMod,would,2551,0.97,3278,2467,would_VMod,would,would_VMod_would
there,Ex,there,2532,0.97,4067,2354,there_Ex,there,there_Ex_there
what,DetP,what,2493,0.92,7313,1936,what_DetP,what,what_DetP_what
will,VMod,will,2470,0.95,552,116,will_VMod,will,will_VMod_will
all,DetP,all,2436,0.98,3644,2297,all_DetP,all,all_DetP_all
if,Conj,if,2369,0.96,4544,2118,if_Conj,if,if_Conj_if
can,VMod,can,2354,0.96,3588,2211,can_VMod,can,can_VMod_can
her,Det,her,2183,0.87,644,2362,her_Det,her,her_Det_her
say,Verb,said,2087,0.9,2685,2018,say_Verb,say,say_Verb_said
who,Pron,who,2055,0.98,1780,2086,who_Pron,who,who_Pron_who
one,Num,one,1962,0.97,3034,1839,one_Num,one,one_Num_one
so,Adv,so,1893,0.93,5067,1526,so_Adv,so,so_Adv_so
up,Adv,up,1795,0.95,2891,1668,up_Adv,up,up_Adv_up
as,Prep,as,1774,0.96,916,1873,as_Prep,as,as_Prep_as
they,Pron,them,1733,0.96,3126,1572,they_Pron,they,they_Pron_them
some,DetP,some,1712,0.98,1986,1681,some_DetP,some,some_DetP_some
when,Conj,when,1712,0.97,2255,1649,when_Conj,when,when_Conj_when
could,VMod,could,1683,0.96,1949,1653,could_VMod,could,could_VMod_could
he,Pron,him,1649,0.9,1348,1684,he_Pron,he,he_Pron_him
into,Prep,into,1634,0.97,1067,1700,into_Prep,into,into_Prep_into
its,Det,its,1632,0.95,338,1782,its_Det,its,its_Det_its
then,Adv,then,1595,0.94,3474,1378,then_Adv,then,then_Adv_then
two,Num,two,1561,0.97,2710,1428,two_Num,two,two_Num_two
out,Adv,out,1542,0.96,2316,1452,out_Adv,out,out_Adv_out
time,NoC,time,1542,0.98,1819,1509,time_NoC,time,time_NoC_time
my,Det,my,1525,0.93,2278,1438,my_Det,my,my_Det_my
about,Prep,about,1524,0.96,2730,1384,about_Prep,about,about_Prep_about
do,Verb,did,1434,0.92,3368,1210,do_Verb,do,do_Verb_did
your,Det,your,1383,0.93,2859,1212,your_Det,your,your_Det_your
now,Adv,now,1382,0.95,2864,1211,now_Adv,now,now_Adv_now
I,Pron,me,1364,0.9,2444,1239,I_Pron,I,I_Pron_me
no,Det,no,1343,0.98,1102,1371,no_Det,no,no_Det_no
other,Adj,other,1336,0.97,1313,1339,other_Adj,other,other_Adj_other
only,Adv,only,1298,0.98,1079,1323,only_Adv,only,only_Adv_only
just,Adv,just,1277,0.92,3820,982,just_Adv,just,just_Adv_just
more,Adv,more,1275,0.96,624,1351,more_Adv,more,more_Adv_more
these,DetP,these,1254,0.95,1269,1252,these_DetP,these,these_DetP_these
also,Adv,also,1248,0.95,556,1328,also_Adv,also,also_Adv_also
people,NoC,people,1241,0.95,2063,1146,people_NoC,people,people_NoC_people
know,Verb,know,1233,0.86,152,3,know_Verb,know,know_Verb_know
any,DetP,any,1220,0.96,1484,1189,any_DetP,any,any_DetP_any
first,Ord,first,1193,0.98,957,1220,first_Ord,first,first_Ord_first
see,Verb,see,1186,0.93,2507,1033,see_Verb,see,see_Verb_see
very,Adv,very,1165,0.95,2373,1025,very_Adv,very,very_Adv_very
new,Adj,new,1145,0.95,603,1208,new_Adj,new,new_Adj_new
may,VMod,may,1135,0.94,480,1211,may_VMod,may,may_VMod_may
well,Adv,well,1119,0.85,5310,634,well_Adv,well,well_Adv_well
should,VMod,should,1112,0.97,1173,1105,should_VMod,should,should_VMod_should
she,Pron,her,1085,0.85,800,1118,she_Pron,she,she_Pron_her
like,Prep,like,1064,0.94,1762,983,like_Prep,like,like_Prep_like
than,Conj,than,1033,0.98,683,1074,than_Conj,than,than_Conj_than
how,Adv,how,1016,0.95,1888,915,how_Adv,how,how_Adv_how
get,Verb,get,995,0.9,3464,709,get_Verb,get,get_Verb_get
way,NoC,way,958,0.97,1252,925,way_NoC,way,way_NoC_way
one,Pron,one,953,0.93,2532,770,one_Pron,one,one_Pron_one
our,Det,our,950,0.96,1253,914,our_Det,our,our_Det_our
make,Verb,made,943,0.98,539,990,make_Verb,make,make_Verb_made
get,Verb,got,932,0.82,5021,459,get_Verb,get,get_Verb_got
after,Prep,after,927,0.96,539,972,after_Prep,after,after_Prep_after
think,Verb,think,916,0.87,3977,562,think_Verb,think,think_Verb_think
between,Prep,between,903,0.95,338,968,between_Prep,between,between_Prep_between
many,DetP,many,902,0.96,654,931,many_DetP,many,many_DetP_many
year,NoC,years,902,0.97,704,925,year_NoC,year,year_NoC_years
er,Uncl,er,896,0.67,8542,11,er_Uncl,er,er_Uncl_er
have,Verb,'ve,891,0.84,4735,446,have_Verb,have,have_Verb_'ve
those,DetP,those,888,0.96,1121,861,those_DetP,those,those_DetP_those
go,Verb,go,881,0.9,2885,649,go_Verb,go,go_Verb_go
be,Verb,being,862,0.98,634,888,be_Verb,be,be_Verb_being
because,Conj,because,852,0.94,2039,715,because_Conj,because,because_Conj_because
down,Adv,down,845,0.94,1472,772,down_Adv,down,down_Adv_down
be,Verb,'re,835,0.85,4255,439,be_Verb,be,be_Verb_'re
yeah,Int,yeah,834,0.64,7890,17,yeah_Int,yeah,yeah_Int_yeah
three,Num,three,797,0.95,1721,691,three_Num,three,three_Num_three
good,Adj,good,795,0.95,1566,706,good_Adj,good,good_Adj_good
back,Adv,back,793,0.93,1211,745,back_Adv,back,back_Adv_back
make,Verb,make,791,0.98,977,769,make_Verb,make,make_Verb_make
such,DetP,such,763,0.95,225,825,such_DetP,such,such_DetP_such
on,Adv,on,756,0.93,1849,630,on_Adv,on,on_Adv_on
there,Adv,there,746,0.88,2894,498,there_Adv,there,there_Adv_there
through,Prep,through,743,0.98,615,758,through_Prep,through,through_Prep_through
year,NoC,year,737,0.94,803,730,year_NoC,year,year_NoC_year
over,Prep,over,735,0.98,543,757,over_Prep,over,over_Prep_over
will,VMod,'ll,726,0.85,3066,455,will_VMod,will,will_VMod_'ll
must,VMod,must,723,0.97,589,739,must_VMod,must,must_VMod_must
still,Adv,still,718,0.97,739,715,still_Adv,still,still_Adv_still
even,Adv,even,716,0.97,457,746,even_Adv,even,even_Adv_even
take,Verb,take,715,0.97,1149,665,take_Verb,take,take_Verb_take
too,Adv,too,701,0.95,629,710,too_Adv,too,too_Adv_too
here,Adv,here,699,0.93,1640,590,here_Adv,here,here_Adv_here
more,DetP,more,699,0.98,949,671,more_DetP,more,more_DetP_more
come,Verb,come,695,0.93,1737,574,come_Verb,come,come_Verb_come
own,DetP,own,695,0.97,443,724,own_DetP,own,own_DetP_own
last,Ord,last,691,0.93,788,680,last_Ord,last,last_Ord_last
do,Verb,does,687,0.95,1549,587,do_Verb,do,do_Verb_does
oh,Int,oh,684,0.7,5052,179,oh_Int,oh,oh_Int_oh
say,Verb,say,679,0.91,2116,512,say_Verb,say,say_Verb_say
no,Int,no,662,0.75,4388,230,no_Int,no,no_Int_no
be,Verb,'m,658,0.87,2512,443,be_Verb,be,be_Verb_'m
work,NoC,work,653,0.96,601,659,work_NoC,work,work_NoC_work
where,Adv,where,628,0.95,1380,541,where_Adv,where,where_Adv_where
erm,Uncl,erm,627,0.68,6029,2,erm_Uncl,erm,erm_Uncl_erm
we,Pron,us,623,0.96,1059,573,we_Pron,we,we_Pron_us
government,NoC,government,622,0.87,295,660,government_NoC,government,government_NoC_government
same,DetP,same,615,0.98,651,611,same_DetP,same,same_DetP_same
man,NoC,man,614,0.93,405,639,man_NoC,man,man_NoC_man
might,VMod,might,614,0.97,809,592,might_VMod,might,might_VMod_might
day,NoC,day,610,0.97,746,594,day_NoC,day,day_NoC_day
yes,Int,yes,606,0.8,3840,231,yes_Int,yes,yes_Int_yes
however,Adv,however,605,0.94,90,664,however_Adv,however,however_Adv_however
put,Verb,put,596,0.93,1640,475,put_Verb,put,put_Verb_put
world,NoC,world,590,0.96,248,629,world_NoC,world,world_NoC_world
over,Adv,over,584,0.89,443,600,over_Adv,over,over_Adv_over
another,DetP,another,581,0.98,640,575,another_DetP,another,another_DetP_another
in,Adv,in,573,0.94,1307,488,in_Adv,in,in_Adv_in
want,Verb,want,572,0.9,1776,432,want_Verb,want,want_Verb_want
as,Adv,as,567,0.98,507,574,as_Adv,as,as_Adv_as
life,NoC,life,566,0.96,293,598,life_NoC,life,life_NoC_life
most,Adv,most,565,0.96,199,607,most_Adv,most,most_Adv_most
against,Prep,against,562,0.96,257,597,against_Prep,against,against_Prep_against
again,Adv,again,561,0.94,836,529,again_Adv,again,again_Adv_again
never,Adv,never,559,0.94,700,542,never_Adv,never,never_Adv_never
under,Prep,under,553,0.95,234,590,under_Prep,under,under_Prep_under
old,Adj,old,544,0.95,529,545,old_Adj,old,old_Adj_old
much,DetP,much,531,0.97,764,504,much_DetP,much,much_DetP_much
something,Pron,something,526,0.92,1290,437,something_Pron,something,something_Pron_something
Mr,NoC,Mr,524,0.87,565,519,Mr_NoC,Mr,Mr_NoC_Mr
why,Adv,why,509,0.92,1113,439,why_Adv,why,why_Adv_why
each,DetP,each,508,0.95,243,539,each_DetP,each,each_DetP_each
while,Conj,while,503,0.97,156,543,while_Conj,while,while_Conj_while
house,NoC,house,501,0.95,460,506,house_NoC,house,house_NoC_house
part,NoC,part,496,0.97,355,512,part_NoC,part,part_NoC_part
number,NoC,number,493,0.95,531,488,number_NoC,number,number_NoC_number
out of,Prep,out of,491,0.95,497,490,out of_Prep,out of,out of_Prep_out of
find,Verb,found,487,0.97,209,519,find_Verb,find,find_Verb_found
off,Adv,off,486,0.94,831,446,off_Adv,off,off_Adv_off
different,Adj,different,484,0.95,500,482,different_Adj,different,different_Adj_different
go,Verb,went,483,0.92,917,433,go_Verb,go,go_Verb_went
really,Adv,really,481,0.89,1727,337,really_Adv,really,really_Adv_really
',Gen,',479,0.95,141,518,'_Gen,','_Gen_'
think,Verb,thought,473,0.91,845,430,think_Verb,think,think_Verb_thought
come,Verb,came,472,0.94,473,471,come_Verb,come,come_Verb_came
use,Verb,used,469,0.95,225,497,use_Verb,use,use_Verb_used
child,NoC,children,466,0.95,367,477,child_NoC,child,child_NoC_children
always,Adv,always,462,0.96,597,446,always_Adv,always,always_Adv_always
four,Num,four,461,0.93,1199,376,four_Num,four,four_Num_four
where,Conj,where,458,0.96,160,492,where_Conj,where,where_Conj_where
without,Prep,without,456,0.98,227,483,without_Prep,without,without_Prep_without
give,Verb,give,451,0.96,845,405,give_Verb,give,give_Verb_give
few,DetP,few,450,0.97,346,462,few_DetP,few,few_DetP_few
within,Prep,within,449,0.95,253,472,within_Prep,within,within_Prep_within
system,NoC,system,447,0.91,189,476,system_NoC,system,system_NoC_system
about,Adv,about,447,0.97,730,414,about_Adv,about,about_Adv_about
local,Adj,local,445,0.93,301,462,local_Adj,local,local_Adj_local
place,NoC,place,443,0.98,353,453,place_NoC,place,place_NoC_place
great,Adj,great,442,0.97,363,452,great_Adj,great,great_Adj_great
during,Prep,during,440,0.95,152,473,during_Prep,during,during_Prep_during
although,Conj,although,436,0.96,160,468,although_Conj,although,although_Conj_although
small,Adj,small,435,0.97,216,460,small_Adj,small,small_Adj_small
before,Prep,before,434,0.97,220,459,before_Prep,before,before_Prep_before
look,Verb,look,433,0.92,1123,353,look_Verb,look,look_Verb_look
case,NoC,case,431,0.93,243,453,case_NoC,case,case_NoC_case
next,Ord,next,431,0.96,594,412,next_Ord,next,next_Ord_next
when,Adv,when,431,0.98,530,420,when_Adv,when,when_Adv_when
end,NoC,end,429,0.98,455,426,end_NoC,end,end_NoC_end
thing,NoC,things,424,0.93,1103,346,thing_NoC,thing,thing_NoC_things
most,DetP,most,422,0.96,261,441,most_DetP,most,most_DetP_most
social,Adj,social,422,0.9,115,458,social_Adj,social,social_Adj_social
find,Verb,find,420,0.97,529,408,find_Verb,find,find_Verb_find
group,NoC,group,414,0.94,249,433,group_NoC,group,group_NoC_group
quite,Adv,quite,412,0.93,1050,338,quite_Adv,quite,quite_Adv_quite
mean,Verb,mean,411,0.84,2250,198,mean_Verb,mean,mean_Verb_mean
five,Num,five,407,0.91,1308,303,five_Num,five,five_Num_five
party,NoC,party,403,0.88,227,423,party_NoC,party,party_NoC_party
every,Det,every,401,0.97,456,395,every_Det,every,every_Det_every
company,NoC,company,401,0.91,158,429,company_NoC,company,company_NoC_company
woman,NoC,women,399,0.93,232,418,woman_NoC,woman,woman_NoC_women
say,Verb,says,398,0.88,740,358,say_Verb,say,say_Verb_says
important,Adj,important,392,0.95,280,405,important_Adj,important,important_Adj_important
take,Verb,took,391,0.95,287,404,take_Verb,take,take_Verb_took
much,Adv,much,390,0.97,432,385,much_Adv,much,much_Adv_much
man,NoC,men,389,0.95,223,408,man_NoC,man,man_NoC_men
information,NoC,information,386,0.92,206,407,information_NoC,information,information_NoC_information
1,Num,1,385,0.9,9,428,1_Num,1,1_Num_1
per cent,NoC,per cent,382,0.88,69,418,per cent_NoC,per cent,per cent_NoC_per cent
both,Adv,both,378,0.95,111,409,both_Adv,both,both_Adv_both
national,Adj,national,376,0.91,165,401,national_Adj,national,national_Adj_national
see,Verb,seen,376,0.97,371,377,see_Verb,see,see_Verb_seen
often,Adv,often,376,0.94,175,399,often_Adv,often,often_Adv_often
school,NoC,school,375,0.94,431,368,school_NoC,school,school_NoC_school
give,Verb,given,375,0.96,224,392,give_Verb,give,give_Verb_given
fact,NoC,fact,374,0.96,492,360,fact_NoC,fact,fact_NoC_fact
money,NoC,money,374,0.95,637,343,money_NoC,money,money_NoC_money
tell,Verb,told,372,0.93,362,373,tell_Verb,tell,tell_Verb_told
away,Adv,away,371,0.92,433,364,away_Adv,away,away_Adv_away
high,Adj,high,370,0.97,185,392,high_Adj,high,high_Adj_high
point,NoC,point,369,0.95,637,338,point_NoC,point,point_NoC_point
go,Verb,going,366,0.9,,,go_Verb,go,go_Verb_going
night,NoC,night,365,0.93,465,354,night_NoC,night,night_NoC_night
state,NoC,state,364,0.9,108,393,state_NoC,state,state_NoC_state
business,NoC,business,358,0.93,225,373,business_NoC,business,business_NoC_business
second,Ord,second,358,0.96,224,373,second_Ord,second,second_Ord_second
British,Adj,British,357,0.93,141,382,British_Adj,British,British_Adj_British
need,Verb,need,356,0.95,749,310,need_Verb,need,need_Verb_need
take,Verb,taken,355,0.98,231,369,take_Verb,take,take_Verb_taken
do,Verb,done,354,0.94,931,288,do_Verb,do,do_Verb_done
right,Adj,right,354,0.89,1019,277,right_Adj,right,right_Adj_right
would,VMod,'d,353,0.88,1194,256,would_VMod,would,would_VMod_'d
have,Verb,having,353,0.98,452,341,have_Verb,have,have_Verb_having
thing,NoC,thing,352,0.91,1136,261,thing_NoC,thing,thing_NoC_thing
look,Verb,looked,352,0.87,209,368,look_Verb,look,look_Verb_looked
London,NoP,London,351,0.94,132,377,London_NoP,London,London_NoP_London
area,NoC,area,351,0.92,356,351,area_NoC,area,area_NoC_area
head,NoC,head,350,0.92,164,372,head_NoC,head,head_NoC_head
perhaps,Adv,perhaps,350,0.96,444,339,perhaps_Adv,perhaps,perhaps_Adv_perhaps
water,NoC,water,349,0.94,278,358,water_NoC,water,water_NoC_water
right,Adv,right,346,0.8,2209,130,right_Adv,right,right_Adv_right
long,Adj,long,345,0.97,365,342,long_Adj,long,long_Adj_long
family,NoC,family,345,0.95,171,365,family_NoC,family,family_NoC_family
2,Num,2,344,0.9,8,383,2_Num,2,2_Num_2
hand,NoC,hand,344,0.93,221,358,hand_NoC,hand,hand_NoC_hand
like,Verb,like,344,0.91,1070,260,like_Verb,like,like_Verb_like
already,Adv,already,343,0.98,267,352,already_Adv,already,already_Adv_already
possible,Adj,possible,342,0.95,147,364,possible_Adj,possible,possible_Adj_possible
nothing,Pron,nothing,341,0.93,403,333,nothing_Pron,nothing,nothing_Pron_nothing
large,Adj,large,337,0.95,116,363,large_Adj,large,large_Adj_large
yet,Adv,yet,337,0.97,307,341,yet_Adv,yet,yet_Adv_yet
leave,Verb,left,336,0.95,278,343,leave_Verb,leave,leave_Verb_left
side,NoC,side,335,0.96,374,330,side_NoC,side,side_NoC_side
ask,Verb,asked,334,0.92,218,348,ask_Verb,ask,ask_Verb_asked
whether,Conj,whether,332,0.95,413,322,whether_Conj,whether,whether_Conj_whether
set,Verb,set,332,0.97,174,350,set_Verb,set,set_Verb_set
day,NoC,days,331,0.97,318,332,day_NoC,day,day_NoC_days
home,NoC,home,330,0.95,237,340,home_NoC,home,home_NoC_home
mm,Int,mm,330,0.64,3163,3,mm_Int,mm,mm_Int_mm
call,Verb,called,329,0.97,306,332,call_Verb,call,call_Verb_called
John,NoP,John,328,0.93,260,336,John_NoP,John,John_NoP_John
development,NoC,development,324,0.92,142,345,development_NoC,development,development_NoC_development
week,NoC,week,322,0.93,631,286,week_NoC,week,week_NoC_week
such as,Prep,such as,321,0.93,43,354,such as_Prep,such as,such as_Prep_such as
country,NoC,country,319,0.94,204,332,country_NoC,country,country_NoC_country
use,Verb,use,319,0.95,455,303,use_Verb,use,use_Verb_use
can,VMod,ca,318,0.87,,,can_VMod,can,can_VMod_ca
power,NoC,power,318,0.94,130,340,power_NoC,power,power_NoC_power
later,Adv,later,317,0.97,179,333,later_Adv,later,later_Adv_later
almost,Adv,almost,316,0.96,118,339,almost_Adv,almost,almost_Adv_almost
young,Adj,young,315,0.96,180,330,young_Adj,young,young_Adj_young
have,Verb,'d,315,0.87,575,284,have_Verb,have,have_Verb_'d
council,NoC,council,313,0.89,424,300,council_NoC,council,council_NoC_council
himself,Pron,himself,311,0.93,87,337,himself_Pron,himself,himself_Pron_himself
both,DetP,both,310,0.98,189,324,both_DetP,both,both_DetP_both
far,Adv,far,310,0.98,229,320,far_Adv,far,far_Adv_far
use,NoC,use,310,0.93,99,334,use_NoC,use,use_NoC_use
of course,Adv,of course,310,0.94,543,283,of course_Adv,of course,of course_Adv_of course
room,NoC,room,309,0.91,233,318,room_NoC,room,room_NoC_room
together,Adv,together,308,0.98,262,313,together_Adv,together,together_Adv_together
tell,Verb,tell,307,0.9,668,265,tell_Verb,tell,tell_Verb_tell
little,Adj,little,306,0.91,700,261,little_Adj,little,little_Adj_little
political,Adj,political,306,0.9,71,333,political_Adj,political,political_Adj_political
before,Conj,before,305,0.96,316,304,before_Conj,before,before_Conj_before
able,Adj,able,304,0.97,339,300,able_Adj,able,able_Adj_able
become,Verb,become,304,0.96,109,326,become_Verb,become,become_Verb_become
six,Num,six,303,0.93,863,239,six_Num,six,six_Num_six
general,Adj,general,301,0.93,162,317,general_Adj,general,general_Adj_general
service,NoC,service,300,0.94,204,312,service_NoC,service,service_NoC_service
have,Verb,'s,298,0.8,1844,119,have_Verb,have,have_Verb_'s
member,NoC,members,297,0.91,224,305,member_NoC,member,member_NoC_members
eye,NoC,eyes,297,0.84,63,324,eye_NoC,eye,eye_NoC_eyes
since,Conj,since,295,0.97,112,316,since_Conj,since,since_Conj_since
time,NoC,times,292,0.97,284,293,time_NoC,time,time_NoC_times
going,Verb,going,292,0.9,1154,6,going_Verb,going,going_Verb_going
problem,NoC,problem,290,0.96,348,283,problem_NoC,problem,problem_NoC_problem
anything,Pron,anything,288,0.93,633,248,anything_Pron,anything,anything_Pron_anything
market,NoC,market,287,0.92,135,305,market_NoC,market,market_NoC_market
towards,Prep,towards,286,0.96,123,305,towards_Prep,towards,towards_Prep_towards
public,Adj,public,285,0.94,102,306,public_Adj,public,public_Adj_public
court,NoC,court,285,0.85,94,307,court_NoC,court,court_NoC_court
other,NoC,others,282,0.96,126,301,other_NoC,other,other_NoC_others
face,NoC,face,282,0.88,103,303,face_NoC,face,face_NoC_face
full,Adj,full,281,0.98,206,290,full_Adj,full,full_Adj_full
do,Verb,doing,279,0.91,943,202,do_Verb,do,do_Verb_doing
war,NoC,war,279,0.94,170,291,war_NoC,war,war_NoC_war
car,NoC,car,278,0.93,379,267,car_NoC,car,car_NoC_car
police,NoC,police,278,0.89,186,288,police_NoC,police,police_NoC_police
feel,Verb,felt,278,0.9,106,298,feel_Verb,feel,feel_Verb_felt
keep,Verb,keep,276,0.95,449,256,keep_Verb,keep,keep_Verb_keep
hold,Verb,held,276,0.93,56,302,hold_Verb,hold,hold_Verb_held
problem,NoC,problems,275,0.95,220,281,problem_NoC,problem,problem_NoC_problems
road,NoC,road,273,0.93,336,266,road_NoC,road,road_NoC_road
probably,Adv,probably,273,0.95,585,237,probably_Adv,probably,probably_Adv_probably
available,Adj,available,272,0.93,104,291,available_Adj,available,available_Adj_available
interest,NoC,interest,272,0.94,133,288,interest_NoC,interest,interest_NoC_interest
help,Verb,help,272,0.97,239,276,help_Verb,help,help_Verb_help
law,NoC,law,270,0.9,88,291,law_NoC,law,law_NoC_law
form,NoC,form,266,0.94,133,282,form_NoC,form,form_NoC_form
a,Lett,a,266,0.93,424,250,a_Lett,a,a_Lett_a
good,Adj,best,266,0.97,217,272,good_Adj,good,good_Adj_best
make,Verb,making,264,0.98,224,269,make_Verb,make,make_Verb_making
look,Verb,looking,264,0.94,428,245,look_Verb,look,look_Verb_looking
early,Adj,early,264,0.95,103,283,early_Adj,early,early_Adj_early
today,Adv,today,263,0.93,503,236,today_Adv,today,today_Adv_today
go,Verb,going*,,,1263,262,go_Verb,go,go_Verb_going*
mother,NoC,mother,262,0.91,184,271,mother_NoC,mother,mother_NoC_mother
see,Verb,saw,261,0.92,205,267,see_Verb,see,see_Verb_saw
know,Verb,knew,261,0.88,168,271,know_Verb,know,know_Verb_knew
education,NoC,education,260,0.9,115,277,education_NoC,education,education_NoC_education
actually,Adv,actually,260,0.86,1239,147,actually_Adv,actually,actually_Adv_actually
work,Verb,work,260,0.96,415,242,work_Verb,work,work_Verb_work
policy,NoC,policy,260,0.91,223,264,policy_NoC,policy,policy_NoC_policy
ever,Adv,ever,259,0.95,275,257,ever_Adv,ever,ever_Adv_ever
so,Conj,so,258,0.95,400,241,so_Conj,so,so_Conj_so
office,NoC,office,257,0.96,168,267,office_NoC,office,office_NoC_office
at least,Adv,at least,257,0.98,165,268,at least_Adv,at least,at least_Adv_at least
research,NoC,research,256,0.82,59,279,research_NoC,research,research_NoC_research
feel,Verb,feel,256,0.94,364,243,feel_Verb,feel,feel_Verb_feel
big,Adj,big,255,0.93,549,221,big_Adj,big,big_Adj_big
body,NoC,body,255,0.95,109,272,body_NoC,body,body_NoC_body
door,NoC,door,254,0.87,255,253,door_NoC,door,door_NoC_door
let,Verb,let,253,0.92,390,237,let_Verb,let,let_Verb_let
Britain,NoP,Britain,251,0.92,77,271,Britain_NoP,Britain,Britain_NoP_Britain
name,NoC,name,250,0.95,299,244,name_NoC,name,name_NoC_name
3,Num,3,250,0.91,6,279,3_Num,3,3_Num_3
person,NoC,person,250,0.93,244,250,person_NoC,person,person_NoC_person
be,Verb,am,250,0.92,252,250,be_Verb,be,be_Verb_am
service,NoC,services,249,0.91,138,262,service_NoC,service,service_NoC_services
report,NoC,report,248,0.86,215,251,report_NoC,report,report_NoC_report
month,NoC,months,248,0.95,211,252,month_NoC,month,month_NoC_months
question,NoC,question,248,0.95,310,240,question_NoC,question,question_NoC_question
use,Verb,using,247,0.93,157,257,use_Verb,use,use_Verb_using
health,NoC,health,246,0.91,154,257,health_NoC,health,health_NoC_health
turn,Verb,turned,246,0.9,100,263,turn_Verb,turn,turn_Verb_turned
lot,NoC,lot,246,0.88,992,160,lot_NoC,lot,lot_NoC_lot
main,Adj,main,245,0.96,133,258,main_Adj,main,main_Adj_main
though,Conj,though,245,0.95,5,273,though_Conj,though,though_Conj_though
million,NoC,million,245,0.88,157,256,million_NoC,million,million_NoC_million
enough,Adv,enough,244,0.95,241,244,enough_Adv,enough,enough_Adv_enough
word,NoC,words,244,0.95,205,249,word_NoC,word,word_NoC_words
child,NoC,child,244,0.92,130,257,child_NoC,child,child_NoC_child
book,NoC,book,243,0.95,220,246,book_NoC,book,book_NoC_book
period,NoC,period,243,0.93,111,258,period_NoC,period,period_NoC_period
less,Adv,less,243,0.95,119,258,less_Adv,less,less_Adv_less
until,Conj,until,242,0.96,137,254,until_Conj,until,until_Conj_until
several,DetP,several,240,0.96,64,260,several_DetP,several,several_DetP_several
sure,Adj,sure,240,0.92,479,212,sure_Adj,sure,sure_Adj_sure
father,NoC,father,239,0.91,142,251,father_NoC,father,father_NoC_father
level,NoC,level,239,0.94,164,247,level_NoC,level,level_NoC_level
for example,Adv,for example,239,0.92,107,254,for example_Adv,for example,for example_Adv_for example
know,Verb,known,238,0.97,92,255,know_Verb,know,know_Verb_known
